Style,StyleID,Combined Style ,Combined ID
American Wheat Beer,14,Wheat Beer,29
American Wheat or Rye Beer,15,Wheat Beer,29
Wheatwine,172,Wheat Beer,29
Witbier,175,Wheat Beer,29
Alternative Grain Beer,2,,30
Alternative Sugar Beer,3,,30
Australian Sparkling Ale,17,,30
Autumn Seasonal Beer,18,,30
Best Bitter,28,,30
Brett Beer,33,,30
Clone Beer,43,,30
Cream Ale,45,,30
Cyser (Apple Melomel),46,,30
Dark Mild,53,,30
Doppelbock,54,,30
Dortmunder Export,55,,30
Eisbock,62,,30
Experimental Beer,67,,30
Holiday/Winter Special Spiced Beer,85,,30
Kellerbier: Pale Kellerbier,96,,30
Kentucky Common,97,,30
Lambic,98,,30
Lichtenhainer,99,,30
Metheglin,104,,30
Mild,105,,30
Mixed-Fermentation Sour Beer,106,,30
Mixed-Style Beer,107,,30
N/A,111,,30
Oud Bruin,122,,30
Scottish Export,136,,30
Scottish Export 80/-,137,,30
Scottish Heavy,138,,30
Scottish Heavy 70/-,139,,30
Scottish Light,140,,30
Scottish Light 60/-,141,,30
Specialty Beer,145,,30
Spice  Herb  or Vegetable Beer,155,,30
Standard/Ordinary Bitter,157,,30
Straight (Unblended) Lambic,158,,30
Strong Bitter,159,,30
Strong Scotch Ale,160,,30
Trappist Single,165,,30
Wee Heavy,168,,30
Wild Specialty Beer,173,,30
Winter Seasonal Beer,174,,30
